AMPARO0.0,TimeAMPARO0.0,AMPARO0.2,TimeAMPARO0.2,AMPARO0.4,TimeAMPARO0.4,AMPARO0.5,TimeAMPARO0.5,AMPARO0.6,TimeAMPARO0.6,AMPARO0.8,TimeAMPARO0.8,AMPARO1.0,TimeAMPARO1.0,BORJA0.0,TimeBORJA0.0,BORJA0.2,TimeBORJA0.2,BORJA0.4,TimeBORJA0.4,BORJA0.5,TimeBORJA0.5,BORJA0.6,TimeBORJA0.6,BORJA0.8,TimeBORJA0.8,BORJA1.0,TimeBORJA1.0,DANIEL0.0,TimeDANIEL0.0,DANIEL0.2,TimeDANIEL0.2,DANIEL0.4,TimeDANIEL0.4,DANIEL0.5,TimeDANIEL0.5,DANIEL0.6,TimeDANIEL0.6,DANIEL0.8,TimeDANIEL0.8,DANIEL1.0,TimeDANIEL1.0,EMILIO0.0,TimeEMILIO0.0,EMILIO0.2,TimeEMILIO0.2,EMILIO0.4,TimeEMILIO0.4,EMILIO0.5,TimeEMILIO0.5,EMILIO0.6,TimeEMILIO0.6,EMILIO0.8,TimeEMILIO0.8,EMILIO1.0,TimeEMILIO1.0,JOSE0.0,TimeJOSE0.0,JOSE0.2,TimeJOSE0.2,JOSE0.4,TimeJOSE0.4,JOSE0.5,TimeJOSE0.5,JOSE0.6,TimeJOSE0.6,JOSE0.8,TimeJOSE0.8,JOSE1.0,TimeJOSE1.0,MARIAJESUS0.0,TimeMARIAJESUS0.0,MARIAJESUS0.2,TimeMARIAJESUS0.2,MARIAJESUS0.4,TimeMARIAJESUS0.4,MARIAJESUS0.5,TimeMARIAJESUS0.5,MARIAJESUS0.6,TimeMARIAJESUS0.6,MARIAJESUS0.8,TimeMARIAJESUS0.8,MARIAJESUS1.0,TimeMARIAJESUS1.0,RAQUEL0.0,TimeRAQUEL0.0,RAQUEL0.2,TimeRAQUEL0.2,RAQUEL0.4,TimeRAQUEL0.4,RAQUEL0.5,TimeRAQUEL0.5,RAQUEL0.6,TimeRAQUEL0.6,RAQUEL0.8,TimeRAQUEL0.8,RAQUEL1.0,TimeRAQUEL1.0,VIRGINIA0.0,TimeVIRGINIA0.0,VIRGINIA0.2,TimeVIRGINIA0.2,VIRGINIA0.4,TimeVIRGINIA0.4,VIRGINIA0.5,TimeVIRGINIA0.5,VIRGINIA0.6,TimeVIRGINIA0.6,VIRGINIA0.8,TimeVIRGINIA0.8,VIRGINIA1.0,TimeVIRGINIA1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20531.0,0.04046344757080078,20848.0,0.048303842544555664,20781.0,0.05654549598693848,20862.0,0.05794334411621094,20759.0,0.05698680877685547,20968.0,0.05595731735229492,20686.0,0.053078413009643555,20963.0,0.0447995662689209,20561.0,0.046819210052490234,20815.0,0.05223417282104492,20843.0,0.0590510368347168,20623.0,0.05349588394165039,21178.0,0.05475211143493652,20830.0,0.05451607704162598,21022.0,0.04518604278564453,21241.0,0.05785775184631348,20663.0,0.055712223052978516,20678.0,0.05292630195617676,21102.0,0.05706334114074707,20861.0,0.05334067344665527,21097.0,0.0533444881439209,20773.0,0.043725013732910156,21112.0,0.05078887939453125,20751.0,0.05289340019226074,20695.0,0.05265474319458008,20556.0,0.05396628379821777,20959.0,0.055384159088134766,20889.0,0.05923151969909668,20987.0,0.041083574295043945,20336.0,0.04856157302856445,20407.0,0.0531926155090332,20915.0,0.0423738956451416,20473.0,0.03952288627624512,20775.0,0.036839962005615234,20519.0,0.04089927673339844,21142.0,0.02972245216369629,20677.0,0.03824019432067871,20655.0,0.03851056098937988,20913.0,0.04162096977233887,20761.0,0.03893685340881348,20689.0,0.04031181335449219,20960.0,0.042665958404541016,20609.0,0.030971288681030273,20920.0,0.03565359115600586,20962.0,0.03841233253479004,20897.0,0.05839228630065918,21007.0,0.05636739730834961,20806.0,0.05526232719421387,20297.0,0.05957150459289551,21007.0,0.04090714454650879,21039.0,0.05738425254821777,20442.0,0.05530214309692383,20562.0,0.05335211753845215,21021.0,0.056476593017578125,20511.0,0.0571136474609375,20143.0,0.05606389045715332
20898.0,0.0803687572479248,21062.0,0.5731601715087891,20953.0,0.1128847599029541,20877.0,0.1742405891418457,20994.0,0.11457705497741699,21013.0,0.8716628551483154,21007.0,0.10702157020568848,20994.0,0.17479467391967773,21076.0,0.10423517227172852,20909.0,0.16426682472229004,20944.0,0.1718761920928955,20945.0,0.10993528366088867,21187.0,4.049516439437866,21021.0,0.28780055046081543,21073.0,0.2648630142211914,21265.0,3.8659119606018066,20880.0,0.11833691596984863,20997.0,0.2807178497314453,21148.0,1.7943429946899414,20948.0,0.11353921890258789,21122.0,0.2802450656890869,20884.0,0.08535099029541016,21160.0,0.911024808883667,21059.0,0.16530895233154297,20967.0,0.2671341896057129,20730.0,0.1098482608795166,21043.0,0.16642212867736816,20975.0,0.17187285423278809,21032.0,0.12757015228271484,20645.0,0.09966278076171875,21046.0,0.11358118057250977,21061.0,0.44243669509887695,20698.0,0.07853865623474121,20887.0,0.07560038566589355,20574.0,0.12169003486633301,21298.0,0.11882257461547852,21272.0,0.08053421974182129,20912.0,0.07744979858398438,21152.0,0.16312861442565918,20883.0,0.15864872932434082,21115.0,0.15894079208374023,21150.0,0.16158533096313477,20768.0,0.06154465675354004,21121.0,0.2519509792327881,21261.0,0.23240447044372559,21186.0,0.12309598922729492,21013.0,0.274294376373291,21109.0,0.10544300079345703,20516.0,0.1147012710571289,21014.0,0.2052011489868164,21144.0,0.4619901180267334,21015.0,0.11966300010681152,20771.0,0.10762500762939453,21034.0,0.835695743560791,21131.0,0.11310529708862305,20950.0,0.11386895179748535
21183.0,0.16056585311889648,21182.0,1.4760591983795166,21099.0,0.27825403213500977,20989.0,0.7107944488525391,21114.0,0.6061673164367676,21126.0,1.1986083984375,21110.0,0.1636042594909668,21219.0,0.22031021118164062,21195.0,0.6125595569610596,21380.0,0.33064794540405273,21019.0,0.38772106170654297,21282.0,0.6687090396881104,21360.0,8.58809781074524,21267.0,2.2019176483154297,21188.0,0.5608468055725098,21270.0,6.670649766921997,21115.0,0.6640338897705078,21182.0,1.1818962097167969,21213.0,2.1200881004333496,20958.0,0.28725147247314453,21187.0,5.298706293106079,20974.0,0.22080636024475098,21285.0,2.022458553314209,21218.0,0.33629727363586426,21120.0,0.8239409923553467,20777.0,0.16753172874450684,21116.0,0.8623569011688232,21024.0,0.34415102005004883,21059.0,0.33519721031188965,21008.0,0.20689964294433594,21056.0,0.8886599540710449,21088.0,0.4850144386291504,20826.0,0.11742711067199707,21388.0,0.11631655693054199,20962.0,0.24856829643249512,21324.0,3.0328431129455566,21352.0,1.9686076641082764,21059.0,0.46407294273376465,21324.0,3.2354650497436523,20946.0,0.39084911346435547,21121.0,1.3137304782867432,21175.0,10.288635730743408,21098.0,0.09319281578063965,21174.0,0.4335806369781494,21310.0,1.2698273658752441,21376.0,2.960719108581543,21120.0,0.5932981967926025,21226.0,0.31450629234313965,20935.0,0.2249739170074463,21229.0,0.33022356033325195,21278.0,1.34590744972229,21155.0,0.17069315910339355,21023.0,0.16645431518554688,21053.0,3.5865304470062256,21140.0,0.7603051662445068,21162.0,1.0634655952453613
21209.0,2.9847068786621094,21232.0,2.605947494506836,21126.0,3.417562246322632,21009.0,0.8786990642547607,21159.0,0.7633366584777832,21286.0,6.129460096359253,21165.0,8.157670497894287,21345.0,0.31727027893066406,21241.0,0.8044016361236572,21411.0,28.308634281158447,21051.0,0.7746055126190186,21337.0,19.23666286468506,21496.0,36.010072469711304,21308.0,10.330903768539429,21350.0,0.9636027812957764,21317.0,17.008121013641357,21117.0,2.3395910263061523,21238.0,3.1543993949890137,21228.0,4.6694676876068115,20967.0,1.9652011394500732,21223.0,7.535040616989136,21172.0,0.7359054088592529,21381.0,3.337014675140381,21292.0,2.372525215148926,21166.0,1.1993074417114258,20798.0,0.2771139144897461,21213.0,1.3474466800689697,21092.0,1.7454018592834473,21199.0,0.46161961555480957,21049.0,0.8680994510650635,21094.0,1.210688591003418,21125.0,1.1539030075073242,20878.0,0.19769525527954102,21434.0,148.57688927650452,20969.0,0.6086053848266602,21360.0,3.679086446762085,21392.0,18.310476779937744,21085.0,0.5037393569946289,21375.0,8.672415256500244,20983.0,1.1896581649780273,21145.0,2.537785768508911,21227.0,21.08246612548828,21474.0,0.18436741828918457,21194.0,2.733311414718628,21347.0,7.069987058639526,21391.0,14.942523002624512,21238.0,1.3645179271697998,21399.0,2.5108659267425537,21028.0,0.28136539459228516,21492.0,3.64111590385437,21302.0,5.5119469165802,21219.0,0.3846743106842041,21050.0,0.7731428146362305,21061.0,3.7494635581970215,21240.0,2.3868560791015625,21212.0,5.7296788692474365
21258.0,4.3358447551727295,21312.0,3.0271615982055664,21243.0,6.900115013122559,21099.0,0.9305479526519775,21343.0,2.0829594135284424,21307.0,7.313396215438843,21182.0,14.81917929649353,21383.0,5.908918380737305,21279.0,3.0226495265960693,21448.0,43.46507024765015,21371.0,1.1541078090667725,21356.0,21.557993173599243,N/A,N/A,21379.0,20.888692140579224,21385.0,10.670208215713501,21320.0,24.51051950454712,21316.0,4.0081822872161865,21342.0,19.62264394760132,21254.0,16.791903734207153,21095.0,3.226428747177124,21235.0,37.663471698760986,21256.0,1.3229010105133057,21458.0,16.13359832763672,21313.0,2.808790445327759,21175.0,2.1527090072631836,20804.0,0.331937313079834,21221.0,7.112947940826416,21134.0,5.501273155212402,21213.0,0.6245315074920654,21129.0,0.9230642318725586,21118.0,2.8761703968048096,21247.0,1.4752023220062256,20930.0,0.3184843063354492,N/A,N/A,21052.0,1.1647589206695557,21376.0,25.646738529205322,21407.0,61.41760516166687,21245.0,1.1073954105377197,21469.0,15.031637191772461,21376.0,1.3083469867706299,21336.0,5.0427985191345215,21258.0,23.17640471458435,21504.0,5.680418491363525,21485.0,3.8772032260894775,21403.0,27.372529983520508,21448.0,18.91119074821472,21329.0,3.364328145980835,21433.0,34.91541004180908,21036.0,0.8206503391265869,21512.0,6.094790935516357,21491.0,6.5863564014434814,21278.0,12.168670654296875,21237.0,1.3051538467407227,21072.0,4.548220157623291,21314.0,44.114179372787476,21287.0,9.448960304260254
21268.0,5.2313055992126465,21325.0,35.05118179321289,21347.0,14.835602760314941,21224.0,1.4632158279418945,21391.0,94.510422706604,21325.0,45.76476716995239,21203.0,20.211610555648804,21406.0,10.820464849472046,21351.0,9.168077945709229,21468.0,118.96426510810852,21422.0,3.8481335639953613,21473.0,22.73984384536743,N/A,N/A,21427.0,42.718772411346436,N/A,N/A,21333.0,81.09921884536743,21352.0,71.49930787086487,21361.0,63.8174307346344,21431.0,21.49147129058838,21229.0,3.656191110610962,21257.0,43.644351959228516,21263.0,2.2388598918914795,21539.0,30.38514995574951,21409.0,7.656974792480469,21227.0,6.444995403289795,20977.0,0.5019969940185547,21311.0,10.173197507858276,21135.0,6.4239466190338135,21327.0,1.5792865753173828,21263.0,2.861783742904663,21127.0,7.513474941253662,21309.0,10.956176519393921,20958.0,0.5061900615692139,N/A,N/A,21184.0,6.133832216262817,21483.0,66.41505169868469,21439.0,105.6865873336792,21292.0,5.747570037841797,N/A,N/A,21394.0,89.42481637001038,21352.0,41.02204084396362,21308.0,25.16093420982361,21512.0,41.23929190635681,21498.0,63.654412508010864,21422.0,54.88300108909607,21470.0,83.75984954833984,21439.0,5.562751531600952,21511.0,136.92721462249756,21136.0,1.5618150234222412,21626.0,73.58583736419678,21499.0,224.51784205436707,21318.0,38.337743282318115,21364.0,5.376564979553223,21101.0,6.740471601486206,21499.0,52.57118821144104,21393.0,57.26960492134094
21315.0,8.30811357498169,21355.0,36.981616497039795,21447.0,17.341958045959473,21306.0,25.26593804359436,21415.0,101.8255980014801,21330.0,46.58818054199219,21236.0,21.983931064605713,21506.0,49.150115728378296,21406.0,16.607771396636963,N/A,N/A,21486.0,151.2393548488617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21345.0,97.62090849876404,21365.0,179.88475513458252,21371.0,200.72388434410095,N/A,N/A,21276.0,8.767408609390259,21269.0,68.18734192848206,21298.0,5.331020832061768,21602.0,61.81290411949158,21555.0,66.66164994239807,21276.0,7.9232261180877686,21106.0,0.7292437553405762,21325.0,12.596130132675171,21204.0,8.865545988082886,21329.0,14.322611570358276,21280.0,16.34622287750244,21192.0,7.7817137241363525,21397.0,19.94304895401001,21015.0,0.8993659019470215,N/A,N/A,21198.0,9.465232610702515,N/A,N/A,N/A,N/A,21330.0,12.953533411026001,N/A,N/A,21433.0,149.68217945098877,21406.0,55.57975649833679,21335.0,74.9397361278534,21539.0,112.16197299957275,21508.0,115.78574299812317,21445.0,58.97862195968628,21502.0,208.32254433631897,21460.0,48.61810493469238,N/A,N/A,21197.0,2.466596841812134,N/A,N/A,N/A,N/A,21535.0,78.61166381835938,21491.0,18.180872678756714,21233.0,10.890103340148926,N/A,N/A,21435.0,145.28618597984314
21326.0,18.33563780784607,21408.0,72.47420310974121,21519.0,103.69126462936401,21422.0,43.88605070114136,21425.0,160.95154643058777,21368.0,57.6169273853302,21238.0,23.726805686950684,N/A,N/A,21411.0,36.280787229537964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21355.0,132.07036709785461,21392.0,186.95710706710815,N/A,N/A,N/A,N/A,21438.0,18.143868684768677,21341.0,74.25595378875732,21402.0,10.235407590866089,N/A,N/A,21684.0,104.30224680900574,21456.0,17.779287815093994,21171.0,1.1699538230895996,21440.0,18.556524991989136,21318.0,9.587133407592773,21395.0,14.899268627166748,21476.0,17.548256158828735,21212.0,20.214651346206665,21464.0,24.601504802703857,21154.0,0.9749164581298828,N/A,N/A,21202.0,15.615151405334473,N/A,N/A,N/A,N/A,21360.0,24.14531445503235,N/A,N/A,N/A,N/A,21470.0,113.41265940666199,N/A,N/A,N/A,N/A,21550.0,137.24299454689026,21483.0,74.18058967590332,N/A,N/A,21539.0,163.48279857635498,N/A,N/A,21307.0,4.014926433563232,N/A,N/A,N/A,N/A,N/A,N/A,21599.0,202.63777875900269,21298.0,12.905972003936768,N/A,N/A,N/A,N/A
21336.0,27.19542932510376,21475.0,83.48236203193665,N/A,N/A,21434.0,44.80479311943054,N/A,N/A,N/A,N/A,21259.0,27.42343759536743,N/A,N/A,21445.0,205.41953229904175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21356.0,168.1464879512787,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21472.0,18.840506315231323,N/A,N/A,N/A,N/A,21559.0,36.34053301811218,21248.0,4.1087257862091064,21496.0,73.0675106048584,21418.0,35.96417212486267,21413.0,16.175676345825195,N/A,N/A,21214.0,23.12655735015869,N/A,N/A,21201.0,2.9577181339263916,N/A,N/A,21223.0,20.775506019592285,N/A,N/A,N/A,N/A,21404.0,27.899192094802856,N/A,N/A,N/A,N/A,21504.0,159.93564105033875,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21319.0,4.5974955558776855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21300.0,13.706435441970825,N/A,N/A,N/A,N/A
