AMPARO0.0,TimeAMPARO0.0,AMPARO0.1,TimeAMPARO0.1,AMPARO0.2,TimeAMPARO0.2,AMPARO0.3,TimeAMPARO0.3,AMPARO0.4,TimeAMPARO0.4,AMPARO0.5,TimeAMPARO0.5,AMPARO0.6,TimeAMPARO0.6,AMPARO0.7,TimeAMPARO0.7,AMPARO0.8,TimeAMPARO0.8,AMPARO0.9,TimeAMPARO0.9,AMPARO1.0,TimeAMPARO1.0,BORJA0.0,TimeBORJA0.0,BORJA0.1,TimeBORJA0.1,BORJA0.2,TimeBORJA0.2,BORJA0.3,TimeBORJA0.3,BORJA0.4,TimeBORJA0.4,BORJA0.5,TimeBORJA0.5,BORJA0.6,TimeBORJA0.6,BORJA0.7,TimeBORJA0.7,BORJA0.8,TimeBORJA0.8,BORJA0.9,TimeBORJA0.9,BORJA1.0,TimeBORJA1.0,DANIEL0.0,TimeDANIEL0.0,DANIEL0.1,TimeDANIEL0.1,DANIEL0.2,TimeDANIEL0.2,DANIEL0.3,TimeDANIEL0.3,DANIEL0.4,TimeDANIEL0.4,DANIEL0.5,TimeDANIEL0.5,DANIEL0.6,TimeDANIEL0.6,DANIEL0.7,TimeDANIEL0.7,DANIEL0.8,TimeDANIEL0.8,DANIEL0.9,TimeDANIEL0.9,DANIEL1.0,TimeDANIEL1.0,EMILIO0.0,TimeEMILIO0.0,EMILIO0.1,TimeEMILIO0.1,EMILIO0.2,TimeEMILIO0.2,EMILIO0.3,TimeEMILIO0.3,EMILIO0.4,TimeEMILIO0.4,EMILIO0.5,TimeEMILIO0.5,EMILIO0.6,TimeEMILIO0.6,EMILIO0.7,TimeEMILIO0.7,EMILIO0.8,TimeEMILIO0.8,EMILIO0.9,TimeEMILIO0.9,EMILIO1.0,TimeEMILIO1.0,JOSE0.0,TimeJOSE0.0,JOSE0.1,TimeJOSE0.1,JOSE0.2,TimeJOSE0.2,JOSE0.3,TimeJOSE0.3,JOSE0.4,TimeJOSE0.4,JOSE0.5,TimeJOSE0.5,JOSE0.6,TimeJOSE0.6,JOSE0.7,TimeJOSE0.7,JOSE0.8,TimeJOSE0.8,JOSE0.9,TimeJOSE0.9,JOSE1.0,TimeJOSE1.0,MARIAJESUS0.0,TimeMARIAJESUS0.0,MARIAJESUS0.1,TimeMARIAJESUS0.1,MARIAJESUS0.2,TimeMARIAJESUS0.2,MARIAJESUS0.3,TimeMARIAJESUS0.3,MARIAJESUS0.4,TimeMARIAJESUS0.4,MARIAJESUS0.5,TimeMARIAJESUS0.5,MARIAJESUS0.6,TimeMARIAJESUS0.6,MARIAJESUS0.7,TimeMARIAJESUS0.7,MARIAJESUS0.8,TimeMARIAJESUS0.8,MARIAJESUS0.9,TimeMARIAJESUS0.9,MARIAJESUS1.0,TimeMARIAJESUS1.0,RAQUEL0.0,TimeRAQUEL0.0,RAQUEL0.1,TimeRAQUEL0.1,RAQUEL0.2,TimeRAQUEL0.2,RAQUEL0.3,TimeRAQUEL0.3,RAQUEL0.4,TimeRAQUEL0.4,RAQUEL0.5,TimeRAQUEL0.5,RAQUEL0.6,TimeRAQUEL0.6,RAQUEL0.7,TimeRAQUEL0.7,RAQUEL0.8,TimeRAQUEL0.8,RAQUEL0.9,TimeRAQUEL0.9,RAQUEL1.0,TimeRAQUEL1.0,VIRGINIA0.0,TimeVIRGINIA0.0,VIRGINIA0.1,TimeVIRGINIA0.1,VIRGINIA0.2,TimeVIRGINIA0.2,VIRGINIA0.3,TimeVIRGINIA0.3,VIRGINIA0.4,TimeVIRGINIA0.4,VIRGINIA0.5,TimeVIRGINIA0.5,VIRGINIA0.6,TimeVIRGINIA0.6,VIRGINIA0.7,TimeVIRGINIA0.7,VIRGINIA0.8,TimeVIRGINIA0.8,VIRGINIA0.9,TimeVIRGINIA0.9,VIRGINIA1.0,TimeVIRGINIA1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19785.0,0.036741018295288086,18742.0,0.03653359413146973,18448.0,0.03901076316833496,18747.0,0.04059624671936035,18357.0,0.04277181625366211,17995.0,0.04312944412231445,18209.0,0.04021573066711426,18378.0,0.04389071464538574,18097.0,0.04372215270996094,18102.0,0.03286099433898926,17853.0,0.03174591064453125,19784.0,0.025491952896118164,18975.0,0.026529788970947266,18870.0,0.02890944480895996,18159.0,0.02997899055480957,18192.0,0.03009772300720215,18437.0,0.031229019165039062,17877.0,0.03161025047302246,18182.0,0.03189349174499512,17540.0,0.030284404754638672,18506.0,0.029796361923217773,17583.0,0.030182361602783203,19689.0,0.025271892547607422,19207.0,0.026665210723876953,18666.0,0.02921438217163086,18485.0,0.030757427215576172,18546.0,0.03188586235046387,18469.0,0.03156256675720215,18193.0,0.0308685302734375,18528.0,0.031720638275146484,17984.0,0.03181266784667969,18162.0,0.0313563346862793,15609.0,0.029971837997436523,19686.0,0.026014089584350586,18869.0,0.026375770568847656,18860.0,0.030128002166748047,17937.0,0.031174898147583008,17572.0,0.03130912780761719,17982.0,0.03111553192138672,18251.0,0.03197026252746582,18435.0,0.032262563705444336,18405.0,0.030377864837646484,18289.0,0.0299074649810791,18074.0,0.03279852867126465,19402.0,0.026157855987548828,19397.0,0.0276486873626709,18403.0,0.02998518943786621,18619.0,0.03148531913757324,18344.0,0.03226161003112793,18339.0,0.030319929122924805,18051.0,0.030256271362304688,18612.0,0.03326869010925293,18155.0,0.03100895881652832,18399.0,0.0314483642578125,18062.0,0.029952526092529297,19376.0,0.026261091232299805,18908.0,0.0271453857421875,18736.0,0.044440507888793945,18168.0,0.0427243709564209,18107.0,0.0430450439453125,18496.0,0.04386425018310547,18083.0,0.041848182678222656,18719.0,0.04485321044921875,18749.0,0.04195237159729004,18457.0,0.04218602180480957,18067.0,0.04205584526062012,19243.0,0.035566091537475586,19177.0,0.037328481674194336,19070.0,0.04006671905517578,18089.0,0.04226827621459961,17753.0,0.04317617416381836,17935.0,0.042412519454956055,17995.0,0.044149160385131836,18628.0,0.03999662399291992,18659.0,0.042983293533325195,18325.0,0.04165840148925781,18623.0,0.04322409629821777,19325.0,0.036627769470214844,19566.0,0.038482666015625,18524.0,0.040006160736083984,18271.0,0.044203996658325195,18356.0,0.04260659217834473,18112.0,0.04190540313720703,17959.0,0.044548749923706055,17980.0,0.044539690017700195,18012.0,0.043228864669799805,17954.0,0.04320859909057617,17593.0,0.03219938278198242
20053.0,0.6361031532287598,19004.0,0.07512116432189941,18864.0,0.07818317413330078,19116.0,0.12507081031799316,18846.0,0.1263256072998047,18165.0,0.08590459823608398,18269.0,0.0832223892211914,18743.0,0.17110252380371094,18205.0,0.129807710647583,18250.0,0.06525516510009766,17981.0,0.09268999099731445,19821.0,0.20728445053100586,19159.0,0.054792165756225586,19020.0,0.05831146240234375,18728.0,0.058942556381225586,18724.0,0.06149101257324219,18675.0,0.09159016609191895,18455.0,0.06079244613647461,18280.0,0.09421658515930176,18360.0,0.06105947494506836,18802.0,0.05914759635925293,17682.0,0.06096649169921875,19717.0,0.17757940292358398,19503.0,0.05459451675415039,19189.0,0.0892798900604248,18531.0,0.06290555000305176,18663.0,0.3395402431488037,18598.0,0.09353923797607422,18391.0,0.12421751022338867,18707.0,0.9330167770385742,18358.0,0.06369876861572266,18408.0,0.06322908401489258,16971.0,0.06337118148803711,19852.0,0.05272865295410156,19697.0,0.05603647232055664,18879.0,0.3174936771392822,18821.0,0.0613398551940918,18320.0,0.06264352798461914,18223.0,0.0617525577545166,18432.0,0.09573721885681152,19059.0,0.12620139122009277,18467.0,0.12505555152893066,18415.0,0.06384634971618652,18620.0,0.06461215019226074,19810.0,0.05286049842834473,19791.0,0.11133718490600586,18602.0,0.05973386764526367,18800.0,0.12347793579101562,18487.0,0.09398674964904785,18589.0,0.12445330619812012,18176.0,0.06323647499084473,18624.0,0.3492128849029541,18235.0,0.062349796295166016,18673.0,0.06357383728027344,18240.0,0.06223940849304199,19528.0,0.05304408073425293,19075.0,0.05714106559753418,18781.0,0.12421011924743652,18403.0,0.08730912208557129,18776.0,0.21183228492736816,18543.0,0.08913660049438477,18210.0,0.08725166320800781,18830.0,0.315110445022583,18943.0,2.0031368732452393,18612.0,0.13172388076782227,18451.0,0.09020376205444336,19659.0,0.0728766918182373,19608.0,0.07481837272644043,19506.0,0.24071860313415527,18584.0,0.1269228458404541,18013.0,0.08849477767944336,18006.0,0.0879063606262207,18353.0,0.08992648124694824,18638.0,0.8998687267303467,18706.0,0.13126397132873535,18362.0,0.1279914379119873,18689.0,0.4437096118927002,19690.0,0.07422327995300293,19748.0,0.3057436943054199,19012.0,0.08196544647216797,18346.0,0.08812642097473145,18556.0,0.2584826946258545,18331.0,0.13042521476745605,18102.0,0.08743810653686523,18326.0,0.08905911445617676,18166.0,0.08934783935546875,18521.0,0.0919032096862793,18344.0,0.06465888023376465
20155.0,0.9200184345245361,19530.0,0.11184930801391602,18976.0,0.15594220161437988,19147.0,8.14407992362976,19051.0,0.1688981056213379,18424.0,0.12638497352600098,18455.0,0.16965007781982422,18770.0,1.0317127704620361,18739.0,0.2120990753173828,18554.0,0.1873950958251953,18378.0,0.12256217002868652,19865.0,0.2827298641204834,19325.0,0.08098649978637695,19119.0,0.11310529708862305,18798.0,0.35779285430908203,18807.0,0.33136439323425293,18720.0,0.2407987117767334,18676.0,0.3945450782775879,18350.0,0.12514281272888184,18691.0,0.12238073348999023,18894.0,1.6132586002349854,18548.0,0.15219664573669434,19738.0,0.27852749824523926,19516.0,0.08348870277404785,19594.0,0.7929642200469971,18602.0,0.15313124656677246,18704.0,1.1246051788330078,18636.0,0.33990979194641113,18468.0,0.18484091758728027,18757.0,3.913289785385132,18642.0,0.2494339942932129,18695.0,0.21943330764770508,18612.0,0.09451055526733398,19963.0,0.23521208763122559,19707.0,0.9556050300598145,19029.0,0.3764975070953369,18834.0,0.366649866104126,18519.0,0.09388613700866699,18474.0,0.09217071533203125,18776.0,0.15558981895446777,19256.0,31.81346035003662,18636.0,0.34854745864868164,18488.0,0.12725257873535156,18665.0,0.34679484367370605,20112.0,0.0788724422454834,19831.0,5.236579895019531,18877.0,0.15036273002624512,19346.0,0.18553638458251953,18808.0,0.280803918838501,18612.0,0.155930757522583,18210.0,0.18656301498413086,18865.0,0.47580504417419434,18330.0,0.12582731246948242,18970.0,0.2472527027130127,18706.0,0.28409576416015625,19717.0,0.07988953590393066,19431.0,0.08519649505615234,18889.0,0.28535890579223633,18893.0,0.21890735626220703,18946.0,0.7622694969177246,18841.0,0.13466262817382812,18333.0,0.17361712455749512,18886.0,0.4519209861755371,18955.0,11.24084210395813,18710.0,1.309403657913208,18554.0,0.3486979007720947,19678.0,0.14778780937194824,19845.0,0.3751084804534912,19562.0,2.701897144317627,18955.0,0.29636430740356445,18948.0,0.13427329063415527,18161.0,0.12998127937316895,18469.0,0.17581748962402344,18708.0,0.9430396556854248,18824.0,3.443723678588867,18540.0,0.385540246963501,18695.0,4.97826886177063,20245.0,0.14634108543395996,19870.0,3.1680595874786377,19113.0,0.12006640434265137,18669.0,0.21293234825134277,18731.0,0.8948125839233398,18781.0,0.3408372402191162,18359.0,0.1703031063079834,18463.0,0.1755523681640625,18192.0,0.13124918937683105,18994.0,0.3491494655609131,18720.0,0.34822750091552734
20265.0,1.4845964908599854,19623.0,0.18733739852905273,18977.0,0.19475483894348145,19232.0,21.665804862976074,19106.0,33.60908126831055,18585.0,0.21219968795776367,18555.0,0.33742642402648926,18835.0,4.435125112533569,18958.0,3.190760374069214,18566.0,0.4322190284729004,18591.0,0.1535494327545166,19889.0,0.48493003845214844,19383.0,0.1864180564880371,19389.0,0.2224893569946289,18891.0,0.507523775100708,18810.0,0.9278504848480225,19083.0,0.27005958557128906,18742.0,0.9104554653167725,18507.0,0.21831893920898438,18834.0,0.45168089866638184,19030.0,2.1219606399536133,18724.0,1.844501256942749,19749.0,0.38157129287719727,19545.0,0.19158601760864258,19671.0,18.86089277267456,18881.0,0.3349149227142334,18752.0,1.5206396579742432,18692.0,0.4921913146972656,18527.0,0.21750736236572266,18957.0,8.5141761302948,18924.0,1.1838455200195312,18698.0,0.3126983642578125,18618.0,2.5340096950531006,20070.0,0.36556434631347656,19731.0,1.3674111366271973,19088.0,0.4348628520965576,18837.0,0.5179440975189209,18910.0,0.18743252754211426,18630.0,0.37003540992736816,18784.0,2.9425601959228516,19265.0,141.234760761261,18643.0,0.4429161548614502,18563.0,0.25290632247924805,18767.0,0.725945234298706,20185.0,3.1277151107788086,19953.0,6.300438642501831,19003.0,0.17786359786987305,19456.0,9.118918418884277,18867.0,1.2132763862609863,18758.0,0.31090307235717773,18634.0,0.24887847900390625,18948.0,0.6020879745483398,18384.0,0.15812182426452637,19074.0,7.795210599899292,19125.0,0.8418512344360352,19757.0,0.4461097717285156,19521.0,0.2759525775909424,19303.0,0.3638448715209961,19057.0,3.12526535987854,18977.0,10.070499181747437,19017.0,3.9956843852996826,18694.0,0.26010608673095703,19014.0,0.54107666015625,19101.0,15.92491340637207,18858.0,2.0924882888793945,18755.0,0.39071083068847656,19766.0,0.18519210815429688,20102.0,1.11891770362854,19615.0,2.9878644943237305,18994.0,0.41899967193603516,19059.0,4.392186880111694,18681.0,0.1727299690246582,18508.0,0.5838720798492432,18851.0,1.574610948562622,18916.0,5.52303409576416,18801.0,0.8066611289978027,18841.0,5.6174376010894775,20359.0,23.378872871398926,20027.0,27.028461456298828,19164.0,0.5958225727081299,18743.0,0.25507450103759766,18828.0,1.4801836013793945,18851.0,2.917818546295166,18634.0,0.3338155746459961,18563.0,0.39185523986816406,18597.0,0.25927305221557617,19002.0,14.192087173461914,18953.0,1.3507213592529297
20273.0,42.8654842376709,19900.0,0.4868502616882324,19054.0,0.27361464500427246,19247.0,24.290714979171753,19213.0,34.58006691932678,18695.0,1.0217556953430176,18787.0,1.5755865573883057,18851.0,4.56339430809021,18999.0,4.25713849067688,18599.0,0.5833210945129395,18750.0,0.6292166709899902,19959.0,0.5860145092010498,19405.0,0.32030797004699707,19417.0,1.4065208435058594,19069.0,1.545346736907959,18970.0,1.8074250221252441,19106.0,17.82960867881775,18754.0,1.7376904487609863,18593.0,0.33759498596191406,18907.0,0.6911828517913818,19108.0,10.305073261260986,18827.0,2.0227789878845215,19905.0,0.711871862411499,19934.0,0.48903560638427734,19830.0,31.457024574279785,18991.0,0.5467872619628906,18995.0,1.7908084392547607,18751.0,0.5244662761688232,18846.0,0.309218168258667,18965.0,11.195186853408813,18968.0,6.120898246765137,18830.0,1.1539387702941895,18874.0,2.752946138381958,20125.0,2.5938315391540527,19818.0,3.2573370933532715,19233.0,0.4656240940093994,19112.0,0.6708252429962158,19047.0,0.5637681484222412,18631.0,0.8996851444244385,18789.0,6.642155647277832,19465.0,192.32564568519592,18685.0,0.9966216087341309,18636.0,0.501049280166626,18887.0,3.806013822555542,20241.0,7.500530004501343,19989.0,8.21672534942627,19073.0,0.5296018123626709,N/A,N/A,18889.0,1.8138997554779053,19026.0,1.3416540622711182,18683.0,0.6232430934906006,19001.0,2.143739700317383,18678.0,0.19194936752319336,19170.0,22.339474201202393,19191.0,136.47570276260376,19802.0,0.5491921901702881,19527.0,0.5492522716522217,19621.0,0.4445152282714844,19101.0,5.203120470046997,19130.0,10.322401285171509,19025.0,27.51344633102417,18918.0,4.288386821746826,19242.0,10.29966402053833,19195.0,46.51960277557373,18913.0,5.21786093711853,18800.0,1.163452386856079,19771.0,0.2613508701324463,20124.0,35.03726029396057,19753.0,43.26071262359619,19001.0,1.6184699535369873,19270.0,9.239967584609985,18741.0,0.6430361270904541,18583.0,0.7609744071960449,19005.0,2.438220977783203,18941.0,6.830826044082642,19091.0,2.133204221725464,18866.0,5.866174697875977,20386.0,52.78430795669556,20135.0,52.686075925827026,19407.0,0.6768624782562256,19117.0,0.5568013191223145,18930.0,3.698855400085449,18901.0,5.128499984741211,18715.0,0.9233276844024658,18949.0,1.127192497253418,18663.0,0.6377439498901367,19070.0,34.82174611091614,18991.0,22.58771586418152
20294.0,43.86100387573242,20025.0,10.937996864318848,19318.0,0.31404924392700195,19328.0,112.06028175354004,19215.0,191.70772671699524,18944.0,1.1865172386169434,18896.0,3.4502031803131104,19161.0,6.7355687618255615,19017.0,44.54995083808899,18609.0,0.6445910930633545,18836.0,1.6820886135101318,20009.0,1.1212763786315918,19482.0,0.3985176086425781,19432.0,3.1769654750823975,19112.0,1.9952547550201416,19214.0,3.378986358642578,19183.0,21.581125497817993,18890.0,3.916165351867676,18683.0,0.48842573165893555,19128.0,2.717014789581299,19464.0,49.08546042442322,19216.0,6.5458245277404785,19926.0,0.7879776954650879,20054.0,30.668086051940918,N/A,N/A,19000.0,1.5142567157745361,19038.0,3.8954319953918457,18784.0,1.0523059368133545,19033.0,14.790677309036255,19004.0,17.941051244735718,19011.0,15.066760778427124,18921.0,4.532007932662964,18943.0,8.491004943847656,20154.0,4.493669271469116,20008.0,4.42322564125061,19305.0,0.5516605377197266,19201.0,3.696826219558716,19135.0,2.4238781929016113,18799.0,1.8511157035827637,18817.0,8.062879085540771,N/A,N/A,18942.0,1.6134424209594727,18723.0,0.9066224098205566,18999.0,9.884148836135864,20308.0,24.8248553276062,19995.0,14.462008953094482,19132.0,0.8199195861816406,N/A,N/A,18902.0,2.368811845779419,19065.0,8.541247367858887,18688.0,1.2505972385406494,19025.0,3.8428053855895996,19035.0,0.2538113594055176,19209.0,40.06741714477539,N/A,N/A,20424.0,0.6277775764465332,19640.0,1.0416991710662842,19761.0,24.72176694869995,19133.0,13.172525405883789,19144.0,34.18498253822327,19042.0,29.711974620819092,18966.0,6.200352907180786,19266.0,78.85363745689392,19204.0,137.61239743232727,19050.0,20.580447912216187,18931.0,3.1217589378356934,19836.0,0.8176836967468262,20171.0,46.097925662994385,N/A,N/A,19012.0,1.9555797576904297,19386.0,13.36966061592102,18984.0,0.8613564968109131,18758.0,1.1527647972106934,19174.0,11.037964344024658,18996.0,8.583861112594604,19113.0,23.627628326416016,19031.0,5.949532747268677,20390.0,157.47161555290222,20195.0,68.58396625518799,19482.0,10.662213802337646,19263.0,4.801711082458496,19089.0,5.499590158462524,19057.0,6.697781562805176,18770.0,1.0086479187011719,19114.0,1.9797396659851074,18786.0,1.1565203666687012,19099.0,61.00402569770813,19091.0,33.18320035934448
N/A,N/A,20120.0,16.40898633003235,19429.0,1.514411211013794,N/A,N/A,N/A,N/A,18954.0,5.109147071838379,18926.0,3.9202520847320557,19214.0,55.10604977607727,19024.0,48.32507920265198,18638.0,1.0978996753692627,19261.0,2.098799228668213,20276.0,1.705965280532837,19671.0,0.5057072639465332,19465.0,6.8112499713897705,19124.0,2.4697701930999756,19329.0,56.73987650871277,19280.0,162.5312180519104,18895.0,5.275747299194336,18796.0,0.609917163848877,19254.0,56.524911642074585,N/A,N/A,19233.0,98.37426829338074,19955.0,1.2200367450714111,20217.0,39.79777193069458,N/A,N/A,19057.0,4.64955472946167,19054.0,4.316117763519287,18887.0,1.927133321762085,19095.0,15.932900190353394,19029.0,18.60238814353943,19103.0,31.964946031570435,19020.0,5.4120094776153564,19026.0,21.882868766784668,20257.0,13.690152168273926,20044.0,5.057992935180664,19505.0,1.9307653903961182,19359.0,11.362399101257324,19214.0,20.31432795524597,19061.0,3.5904886722564697,18898.0,9.296712160110474,N/A,N/A,19230.0,3.534210443496704,18923.0,1.4346938133239746,19048.0,46.444462299346924,20343.0,57.25144696235657,20016.0,24.058456420898438,19399.0,1.0287067890167236,N/A,N/A,18907.0,3.4309463500976562,19079.0,13.962834119796753,18794.0,1.4315669536590576,19062.0,14.591491222381592,19052.0,17.325836181640625,N/A,N/A,N/A,N/A,20460.0,72.1764190196991,19677.0,1.0972936153411865,N/A,N/A,19150.0,13.62705945968628,19220.0,145.26773238182068,19101.0,42.617663621902466,19099.0,41.18959665298462,19332.0,209.0317039489746,N/A,N/A,19155.0,29.140079259872437,19036.0,5.587808609008789,19924.0,0.8921453952789307,20253.0,53.87010216712952,N/A,N/A,19208.0,2.3767096996307373,N/A,N/A,19057.0,1.365556240081787,18795.0,1.9693520069122314,19267.0,44.951921701431274,19068.0,13.327900648117065,19328.0,164.15220165252686,19130.0,84.51937651634216,N/A,N/A,20218.0,170.1948893070221,19537.0,32.08782958984375,19311.0,70.56482124328613,19108.0,16.382864952087402,19123.0,30.923933744430542,18815.0,4.037313938140869,19242.0,9.350324869155884,18787.0,2.861696243286133,19178.0,92.21567130088806,19221.0,41.89960336685181
N/A,N/A,20192.0,32.33858299255371,19573.0,13.743897676467896,N/A,N/A,N/A,N/A,19004.0,9.58779501914978,18954.0,16.987245082855225,N/A,N/A,19084.0,71.21103358268738,18898.0,1.4016337394714355,N/A,N/A,20277.0,11.366623401641846,19840.0,0.8005115985870361,19549.0,13.493961572647095,19128.0,4.50563645362854,N/A,N/A,19446.0,187.6488492488861,18990.0,10.911461114883423,18931.0,1.6748111248016357,19257.0,90.78500318527222,N/A,N/A,19276.0,184.87081599235535,19978.0,2.609517812728882,20368.0,211.54258704185486,N/A,N/A,19188.0,9.15457558631897,19118.0,36.36804556846619,18890.0,2.5511045455932617,19366.0,33.17272877693176,19171.0,31.821092128753662,19234.0,187.21283888816833,19064.0,11.102152824401855,19108.0,41.915027141571045,20328.0,43.948015213012695,20242.0,40.59969687461853,19535.0,2.656337022781372,19544.0,74.2472882270813,19227.0,21.247883319854736,19113.0,7.495724678039551,18952.0,10.084376811981201,N/A,N/A,19295.0,109.17979145050049,19128.0,5.629710674285889,19330.0,59.8813955783844,20377.0,161.2573642730713,20071.0,45.20600152015686,19623.0,1.7192878723144531,N/A,N/A,18953.0,4.152382850646973,19130.0,15.57183027267456,18858.0,2.159741163253784,19143.0,47.75338172912598,19077.0,19.831241130828857,N/A,N/A,N/A,N/A,N/A,N/A,19735.0,1.3464412689208984,N/A,N/A,19238.0,15.936445713043213,19286.0,155.9677016735077,19124.0,110.34308505058289,19112.0,60.29576063156128,N/A,N/A,N/A,N/A,19156.0,84.59984016418457,19069.0,48.56084060668945,20090.0,1.3584272861480713,20274.0,125.40448379516602,N/A,N/A,19272.0,31.53819227218628,N/A,N/A,19067.0,1.580627202987671,18822.0,2.9508309364318848,19404.0,58.831175804138184,19209.0,39.92239308357239,N/A,N/A,19180.0,84.84881734848022,N/A,N/A,N/A,N/A,19722.0,53.609628438949585,19363.0,88.01787328720093,19132.0,59.53522777557373,19164.0,53.39215016365051,18903.0,7.146859407424927,N/A,N/A,18867.0,2.9918839931488037,19209.0,136.45783519744873,19277.0,193.1159143447876
N/A,N/A,20247.0,99.37173318862915,19616.0,128.5423378944397,N/A,N/A,N/A,N/A,19081.0,13.348142385482788,19162.0,20.203205585479736,N/A,N/A,19240.0,89.11442947387695,19077.0,7.953406572341919,N/A,N/A,20404.0,29.721576929092407,19892.0,6.107719898223877,19564.0,15.712377071380615,19216.0,5.331909894943237,N/A,N/A,N/A,N/A,19031.0,14.794746398925781,18965.0,9.976370334625244,19266.0,171.11309552192688,N/A,N/A,N/A,N/A,20062.0,5.424220323562622,N/A,N/A,N/A,N/A,19370.0,10.125941514968872,19122.0,39.41713547706604,18954.0,5.523472309112549,N/A,N/A,19220.0,44.19740080833435,19338.0,191.3483166694641,19100.0,37.91439938545227,19216.0,154.20237755775452,20369.0,57.470473527908325,N/A,N/A,19690.0,31.19852614402771,N/A,N/A,19338.0,49.02843737602234,19118.0,49.858418226242065,19010.0,18.76930022239685,N/A,N/A,19353.0,200.78187108039856,19240.0,28.881059169769287,N/A,N/A,20383.0,183.13434410095215,20289.0,69.92867660522461,19729.0,63.563600063323975,N/A,N/A,19190.0,8.73784327507019,19158.0,27.976452350616455,18919.0,3.8693881034851074,19560.0,100.50152564048767,19086.0,31.90302062034607,N/A,N/A,N/A,N/A,N/A,N/A,19764.0,2.7734487056732178,N/A,N/A,19266.0,18.820958137512207,19395.0,193.90675711631775,19336.0,176.14470148086548,19163.0,101.70007133483887,N/A,N/A,N/A,N/A,19233.0,92.91174077987671,19168.0,54.44837427139282,20127.0,3.0371689796447754,N/A,N/A,N/A,N/A,19365.0,102.1431953907013,N/A,N/A,19171.0,18.56580424308777,18827.0,3.083740472793579,19499.0,102.59280133247375,19256.0,65.06583404541016,N/A,N/A,19223.0,199.63653755187988,N/A,N/A,N/A,N/A,19748.0,81.07485914230347,19381.0,111.0618269443512,19167.0,75.04197692871094,19246.0,68.35579442977905,19009.0,13.173532247543335,N/A,N/A,18973.0,4.77146315574646,N/A,N/A,19692.0,221.54166197776794
